YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1999,abreb001,johnd003,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,johnj006,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1999,abreb001,johnr005,4,2,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0
1999,abreb001,joneb003,3,3,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0
1999,abreb001,kamis001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,karcm001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,karls001,3,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0
1999,abreb001,kiled001,8,6,2,4,0,1,0,0,2,2,0,1,1,0,0,0,0
1999,abreb001,kingr001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,klins002,5,3,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1999,abreb001,kochb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,kubej001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abreb001,lee-d003,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,abreb001,leita001,5,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1999,abreb001,liebj001,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,limaj001,3,2,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0
1999,abreb001,loopb001,2,2,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0
1999,abreb001,lopea002,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,lowed001,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,maddg002,6,6,3,3,0,0,0,0,1,0,0,3,0,0,0,0,0
1999,abreb001,maddm002,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abreb001,mahop001,4,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,mantm001,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,masao001,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1999,abreb001,mcglk001,3,2,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0
1999,abreb001,mcnib001,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1999,abreb001,meadb001,5,5,3,5,2,0,0,0,1,0,0,0,0,0,0,0,0
1999,abreb001,medir001,2,2,1,4,0,0,1,1,4,0,0,0,0,0,0,0,0
1999,abreb001,mendr001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,merck001,6,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1999,abreb001,miced001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
