YEAR,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1977,burrj001,9,670,579,157,301,19,1,41,2,114,85,2,126,8,0,0,6,0
1977,burrj001,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,burrr001,1,82,68,12,19,2,1,1,0,8,4,0,22,0,1,9,0,0
1977,burrr001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,buskm101,6,8,7,2,4,0,1,0,0,1,0,0,1,0,1,0,0,0
1977,cabee001,3,11,10,4,6,2,0,0,0,5,0,0,0,0,0,0,1,0
1977,cabee001,5,642,608,170,266,34,7,16,0,63,27,2,55,8,3,2,2,0
1977,cabee001,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,cabee001,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,cacec101,3,19,18,1,1,0,0,0,0,1,1,0,3,1,0,0,0,0
1977,cacec101,11,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1977,caldm001,1,5,4,2,4,2,0,0,0,0,1,0,0,0,0,0,0,0
1977,campb101,6,647,551,139,187,19,7,5,0,45,47,1,86,7,4,40,5,0
1977,campb101,11,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,campd102,1,14,12,1,1,0,0,0,0,1,0,0,8,0,0,2,0,0
1977,campr001,1,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1977,candj001,1,88,80,18,25,3,2,0,0,11,4,0,18,0,0,4,0,0
1977,cannj101,7,13,13,1,2,1,0,0,0,1,0,0,4,0,0,0,0,0
1977,cannj101,11,4,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1977,capid101,1,39,34,2,2,0,0,0,0,2,0,0,13,0,1,3,1,0
1977,caprb101,1,42,36,4,4,0,0,0,0,2,3,0,9,0,0,3,0,0
1977,carbb101,7,26,22,8,20,0,0,4,1,10,3,0,5,0,0,0,1,0
1977,carbb101,9,213,176,50,78,5,1,7,0,18,37,2,56,3,0,0,0,0
1977,carbb101,10,24,18,5,12,1,0,2,0,2,6,1,7,0,0,0,0,0
1977,carbb101,11,13,12,3,9,0,0,2,0,4,1,0,4,1,0,0,0,0
1977,cardj101,7,201,176,37,53,10,0,2,0,8,22,2,23,7,1,1,1,0
1977,cardj101,8,16,15,7,13,1,1,1,0,6,1,0,2,0,0,0,0,0
1977,cardj101,9,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
