YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1989,R,carpc001,R,R,147,130,32,54,7,3,3,0,22,9,3,21,2,2,2,4,0
1989,R,caryc001,L,L,72,67,13,23,4,0,2,1,13,4,0,13,0,0,1,0,0
1989,R,caryc001,L,R,332,306,65,119,17,2,11,0,29,25,6,66,3,0,0,1,0
1989,R,castt001,L,L,37,33,11,15,4,0,0,0,5,3,1,5,2,0,1,0,0
1989,R,castt001,L,R,90,72,20,23,3,0,0,0,14,11,5,10,1,1,2,4,0
1989,R,ceruj001,L,L,140,126,28,43,4,1,3,0,7,11,1,15,2,1,2,0,0
1989,R,ceruj001,L,R,716,659,186,273,29,5,16,0,68,42,1,54,20,5,5,5,0
1989,R,charn001,L,L,99,81,12,14,0,1,0,0,5,11,0,27,0,1,6,0,0
1989,R,charn001,L,R,294,259,55,84,10,2,5,0,26,29,7,71,2,1,3,2,0
1989,R,clanj001,R,L,366,313,91,144,17,3,10,0,49,45,9,49,7,0,5,3,0
1989,R,clanj001,R,R,289,263,64,99,20,3,3,0,29,21,6,42,6,0,4,1,0
1989,R,clarm001,R,L,278,255,61,85,13,1,3,1,17,20,2,17,6,0,1,1,1
1989,R,clarm001,R,R,174,157,42,60,9,0,3,0,19,11,1,13,2,1,3,2,0
1989,R,clars001,L,L,6,5,1,4,0,0,1,0,3,1,0,0,0,0,0,0,0
1989,R,clars001,L,R,30,27,13,19,3,0,1,0,7,3,0,2,1,0,0,0,0
1989,R,clart001,R,L,23,21,9,13,0,2,0,0,2,0,0,4,1,0,1,1,0
1989,R,clart001,R,R,25,21,4,5,1,0,0,0,3,3,0,3,2,0,1,0,0
1989,R,clemp001,L,L,52,45,8,10,2,0,0,0,4,3,0,13,0,0,4,0,0
1989,R,clemp001,L,R,115,101,31,47,2,1,4,0,14,12,5,5,4,0,1,1,0
1989,R,clemr001,R,L,570,503,122,167,22,1,7,0,43,57,4,110,9,2,5,3,0
1989,R,clemr001,R,R,474,426,93,147,9,3,13,0,42,36,1,120,14,6,4,2,0
1989,R,clutb001,R,L,154,143,37,72,8,0,9,0,21,9,1,15,3,0,0,2,0
1989,R,clutb001,R,R,137,128,36,47,5,0,2,0,12,7,0,14,1,0,0,2,0
1989,R,combp001,L,L,12,11,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0
1989,R,combp001,L,R,141,134,33,45,6,0,2,0,10,5,1,29,3,0,2,0,0
1989,R,comsk001,L,L,52,45,15,19,1,0,1,0,8,5,2,7,0,0,2,0,0
1989,R,comsk001,L,R,59,52,11,16,2,0,1,0,5,5,0,15,2,0,0,2,0
1989,R,coned001,R,L,502,449,105,170,20,9,9,0,46,47,4,73,5,3,1,2,0
1989,R,coned001,R,R,408,373,78,125,10,2,11,0,38,27,2,117,1,1,5,2,0
1989,R,cookd001,L,L,79,65,13,27,2,0,4,0,10,8,0,12,1,2,3,1,0
1989,R,cookd001,L,R,420,387,97,165,20,3,14,0,42,30,6,55,5,0,2,1,0
1989,R,cookm001,R,L,38,31,7,8,1,0,0,0,4,7,1,4,1,0,0,0,0
1989,R,cookm001,R,R,64,51,15,22,2,1,1,0,14,10,0,11,0,1,0,2,0
1989,R,corbs001,L,L,5,4,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0
1989,R,corbs001,L,R,15,15,2,3,1,0,0,0,1,0,0,3,0,0,0,0,0
1989,R,corsj001,R,L,65,60,9,10,1,0,0,0,2,3,0,6,0,1,0,1,0
1989,R,corsj001,R,R,84,74,17,24,1,0,2,0,13,7,0,15,4,0,2,1,0
1989,R,costj001,R,L,101,88,20,28,3,1,1,0,4,11,4,16,0,0,0,2,0
1989,R,costj001,R,R,151,137,28,51,9,1,4,0,26,9,3,24,2,2,0,3,0
